name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description
"IVF Michigan, P.C.",MI,Healthcare Provider,9383,7/18/2023,Hacking/IT Incident,Network Server,No,
Tahoe Forest Hospital District,CA,Healthcare Provider,1119,7/17/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
Fairfax Oral and Maxillofacial Surgery ,VA,Healthcare Provider,208194,7/14/2023,Hacking/IT Incident,Network Server,No,
"Pension Benefit Information, LLC",MN,Business Associate,1209825,7/14/2023,Hacking/IT Incident,Network Server,Yes,
"The Pavillion at Health Park, LLC dba Park Royal Hospital",FL,Healthcare Provider,500,7/14/2023,Hacking/IT Incident,Email,No,
"Care N' Care Insurance Company, Inc.",TX,Health Plan,33032,7/14/2023,Hacking/IT Incident,Network Server,Yes,
Wake Family Eye Care,NC,Healthcare Provider,14264,7/14/2023,Hacking/IT Incident,Network Server,No,
Hines Interests Limited Partnership,TX,Health Plan,3000,7/13/2023,Hacking/IT Incident,"Network Server, Other",Yes,
East Houston Med And Ped Clinic,TX,Healthcare Provider,10000,7/13/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Konen & Associates dba Unified Pain Management ,TX,Healthcare Provider,500,7/12/2023,Hacking/IT Incident,Email,No,
Molina Healthcare,CA,Health Plan,7702,7/11/2023,Hacking/IT Incident,Network Server,Yes,
Charles George Department of Veterans Affairs Medical Center,NC,Healthcare Provider,1541,7/11/2023,Unauthorized Access/Disclosure,Email,No,
"The Vitality Group, LLC",IL,Business Associate,15569,7/11/2023,Hacking/IT Incident,Network Server,Yes,
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,501,7/7/2023,Hacking/IT Incident,Network Server,No,
Precision Anesthesia Billing LLC,FL,Business Associate,209200,7/7/2023,Hacking/IT Incident,Network Server,Yes,
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,7/7/2023,Hacking/IT Incident,Email,No,
"Parsley Health, Inc. ",NY,Business Associate,1004,7/7/2023,Unauthorized Access/Disclosure,Network Server,Yes,
Norton Healthcare Inc.,KY,Healthcare Provider,501,7/7/2023,Hacking/IT Incident,Network Server,No,
Public Health Management Corporation,PA,Healthcare Provider,501,7/6/2023,Hacking/IT Incident,Network Server,No,
"edgeMED Healthcare, LLC",FL,Business Associate,6700,7/6/2023,Hacking/IT Incident,Network Server,Yes,
"Phoenician Medical Center, Inc",AZ,Healthcare Provider,162500,7/5/2023,Hacking/IT Incident,Network Server,No,
Mountain View Hospital ,ID,Healthcare Provider,1043,7/3/2023,Hacking/IT Incident,Network Server,No,
Eastern Connecticut Health Network,CT,Healthcare Provider,912,7/2/2023,Unauthorized Access/Disclosure,Email,No,
AHCCCS,AZ,Health Plan,2632,6/30/2023,Unauthorized Access/Disclosure,Network Server,No,
Deanco Healthcare LLC dba Mission Community Hospital,CA,Healthcare Provider,500,6/30/2023,Hacking/IT Incident,Network Server,No,
Imagine360,PA,Business Associate,132651,6/30/2023,Unauthorized Access/Disclosure,Network Server,Yes,
"Orrick, Herrington & Sutcliffe LLP",CA,Business Associate,40823,6/30/2023,Hacking/IT Incident,Network Server,Yes,
ARx Patient Solutions,KS,Healthcare Provider,41166,6/30/2023,Unauthorized Access/Disclosure,Email,No,
Health First Health Plans,FL,Health Plan,701,6/30/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Recovery Centers of America,PA,Healthcare Provider,2220,6/30/2023,Hacking/IT Incident,Network Server,No,
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,24180,6/30/2023,Hacking/IT Incident,Network Server,No,
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,6/30/2023,Hacking/IT Incident,Email,No,
"Advanced Medical Management, LLC",MD,Business Associate,319485,6/29/2023,Hacking/IT Incident,Network Server,Yes,
Partnership Health Center,MT,Healthcare Provider,8331,6/29/2023,Unauthorized Access/Disclosure,Email,No,
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,6/27/2023,Hacking/IT Incident,Network Server,Yes,
Itasca County Health & Human Services,MN,Healthcare Provider,1413,6/27/2023,Hacking/IT Incident,Email,No,
"Tidewater Diagnostic Imaging, Ltd.",MA,Healthcare Provider,40195,6/26/2023,Hacking/IT Incident,Network Server,No,
UPMC ,PA,Healthcare Provider,1533,6/26/2023,Hacking/IT Incident,Network Server,Yes,
Activate Healthcare LLC,IL,Healthcare Provider,93761,6/23/2023,Hacking/IT Incident,Network Server,No,
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA",PA,Healthcare Provider,500,6/23/2023,Hacking/IT Incident,Network Server,No,
The Williamsport Home,PA,Healthcare Provider,500,6/23/2023,Hacking/IT Incident,Network Server,No,
The MetroHealth System,OH,Healthcare Provider,1230,6/23/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Desert Physicians Management,CA,Business Associate,56556,6/22/2023,Hacking/IT Incident,Network Server,Yes,
"GlobalHealth Holdings, LLC",OK,Health Plan,622,6/22/2023,Hacking/IT Incident,Network Server,Yes,
"Vitra Home Care, LLC",MA,Business Associate,658,6/22/2023,Hacking/IT Incident,Email,Yes,
Limbach Facility Services LLC Group Benefit Plan,PA,Health Plan,1392,6/22/2023,Hacking/IT Incident,Network Server,No,
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,6/21/2023,Hacking/IT Incident,Network Server,No,
City of San Luis,AZ,Healthcare Provider,6848,6/20/2023,Hacking/IT Incident,Email,No,
Community Research Foundation,CA,Healthcare Provider,30236,6/20/2023,Hacking/IT Incident,Network Server,No,
Quatela Center for Plastic Surgery,NY,Healthcare Provider,1085,6/20/2023,Unauthorized Access/Disclosure,Email,No,
"Kannact, Inc.",OR,Business Associate,103547,6/20/2023,Hacking/IT Incident,Network Server,Yes,
VINCERA IMAGING LLC,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server,No,
VINCERA REHAB LLC,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server,No,
VINCERA SURGERY CENTER,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server,No,
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS",PA,,10000,6/20/2023,Hacking/IT Incident,Network Server,No,
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,6/19/2023,Hacking/IT Incident,Network Server,No,
Atrium Health Wake Forest Baptist ,NC,Healthcare Provider,3679,6/16/2023,Hacking/IT Incident,Email,No,
"Core Recovery, LLC",AZ,Healthcare Provider,2656,6/16/2023,Hacking/IT Incident,Email,No,
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,6/16/2023,Hacking/IT Incident,Network Server,No,
Humana Inc.,KY,Health Plan,9372,6/15/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,6/15/2023,Hacking/IT Incident,Network Server,No,
Great Valley Cardiology,PA,Healthcare Provider,181764,6/12/2023,Hacking/IT Incident,Network Server,No,
Idaho Department of Health & Welfare,ID,Health Plan,2501,6/12/2023,Unauthorized Access/Disclosure,Network Server,Yes,
"Atlanta Women's Health Group, P.C.",GA,Healthcare Provider,33839,6/11/2023,Hacking/IT Incident,Network Server,No,
"HC3, Inc",AL,Business Associate,1105,6/11/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
Valley Obstetrics & Gynecology PC,UT,Healthcare Provider,500,6/9/2023,Hacking/IT Incident,Network Server,No,
Uponor North America,MN,Health Plan,1048,6/8/2023,Hacking/IT Incident,Network Server,No,
"Intellihartx, LLC",TN,Business Associate,489830,6/8/2023,Hacking/IT Incident,Network Server,Yes,
"Marshall & Melhorn, LLC",OH,Business Associate,9412,6/7/2023,Hacking/IT Incident,Network Server,Yes,
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",UT,Health Plan,5800,6/6/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
Henry Ford Health,MI,Healthcare Provider,168215,6/6/2023,Hacking/IT Incident,Email,No,
Ascension Providence,TX,Healthcare Provider,1415,6/6/2023,Hacking/IT Incident,Network Server,Yes,
Ascension Seton,TX,Healthcare Provider,17191,6/6/2023,Hacking/IT Incident,Network Server,Yes,
Southeast Nursing and Rehab Center,TX,Healthcare Provider,600,6/6/2023,Improper Disposal,"Other, Paper/Films",No,
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,6/5/2023,Hacking/IT Incident,Network Server,No,
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,6/4/2023,Hacking/IT Incident,Network Server,No,
"John N. Evans, DPM",MI,Healthcare Provider,15585,6/3/2023,Hacking/IT Incident,Network Server,No,
Unified Operations Virginia LP,FL,Business Associate,501,6/2/2023,Hacking/IT Incident,Network Server,Yes,
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions",MS,Healthcare Provider,501,6/2/2023,Hacking/IT Incident,Network Server,No,
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,6/2/2023,Hacking/IT Incident,Network Server,No,
"T. Rowe Price Group, Inc.",MD,Health Plan,684,6/2/2023,Hacking/IT Incident,Network Server,Yes,
MUSC Health Lancaster Medical Center,SC,Healthcare Provider,1802,6/2/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Elgon Information Systems,MA,Business Associate,31248,6/2/2023,Hacking/IT Incident,Network Server,Yes,
EpiSource,MN,Business Associate,1206,6/2/2023,Hacking/IT Incident,Network Server,Yes,
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,6/2/2023,Hacking/IT Incident,Network Server,No,
Petaluma Health Center,CA,Healthcare Provider,124862,6/2/2023,Hacking/IT Incident,Network Server,No,
Maimonides Medical Center,NY,Healthcare Provider,33000,6/1/2023,Hacking/IT Incident,Network Server,No,
Pain Relief Centers PA,NC,Healthcare Provider,7000,6/1/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"iSpace, Inc.",CA,Business Associate,24382,5/31/2023,Hacking/IT Incident,Network Server,Yes,
Builders FirstSource Flex Plan,TX,Health Plan,3690,5/30/2023,Hacking/IT Incident,Network Server,No,
Iowa Department of Health and Human Services - Iowa Medicaid (Iowa HHS-IM),IA,Health Plan,233834,5/30/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,996,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,1389,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,1191,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,1518,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,524,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,507,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Pioneer Valley Ophthalmic Consultants, PC",MA,Healthcare Provider,36275,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,983,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,8432,5/26/2023,Hacking/IT Incident,Network Server,Yes,
Onix Group,PA,Business Associate,319500,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,803,5/26/2023,Hacking/IT Incident,Network Server,Yes,
North Shore Medical Labs,NY,Healthcare Provider,500,5/26/2023,Hacking/IT Incident,Network Server,No,
"Alvaria, Inc.",MA,Business Associate,1147,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,537,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,796,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,1097,5/26/2023,Hacking/IT Incident,Network Server,Yes,
"Alvaria, Inc.",MA,Business Associate,916,5/26/2023,Hacking/IT Incident,Network Server,Yes,
Sparta Community Hospital District,IL,Healthcare Provider,900,5/26/2023,Hacking/IT Incident,Email,No,
Managed Care of North America (MCNA),GA,Business Associate,8861076,5/26/2023,Hacking/IT Incident,Network Server,Yes,
Iowa Department of Health and Human Services,IA,Health Plan,833,5/26/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,5/26/2023,Hacking/IT Incident,Email,No,
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,5/26/2023,Hacking/IT Incident,Network Server,No,
Lancaster Orthopedic Group,PA,Healthcare Provider,500,5/26/2023,Hacking/IT Incident,Network Server,No,
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,5/25/2023,Hacking/IT Incident,Network Server,No,
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,5/25/2023,Hacking/IT Incident,Network Server,No,
Asian Health Services,CA,Healthcare Provider,6270,5/25/2023,Hacking/IT Incident,Email,No,
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,5/24/2023,Hacking/IT Incident,Email,No,
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,5/24/2023,Hacking/IT Incident,Network Server,No,
Harvard Pilgrim Health Care,MA,Health Plan,2550922,5/24/2023,Hacking/IT Incident,Network Server,No,
"MedInform, Inc.",OH,Business Associate,14453,5/24/2023,Hacking/IT Incident,Network Server,Yes,
"The CSC Generation Holdings, Inc. Health and Welfare Plan",WA,Health Plan,2219,5/24/2023,Hacking/IT Incident,Network Server,No,
"UI Community Home Care, a subsidiary of University of Iowa Health System ",IA,Healthcare Provider,67897,5/24/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Culbertson Memorial Hospital ,IL,Healthcare Provider,501,5/24/2023,Hacking/IT Incident,Network Server,No,
Grant Regional Health Center,WI,Healthcare Provider,4135,5/23/2023,Hacking/IT Incident,Email,No,
County of Sacramento,CA,Healthcare Provider,1000,5/23/2023,Hacking/IT Incident,Email,No,
"Topcon Healthcare Solutions, Inc.",NJ,Business Associate,4209,5/22/2023,Hacking/IT Incident,Network Server,Yes,
PillPack LLC,NH,Healthcare Provider,19032,5/19/2023,Hacking/IT Incident,Network Server,No,
"PartsSource, Inc. Welfare Benefit Plan",OH,Health Plan,1474,5/19/2023,Hacking/IT Incident,Network Server,No,
Tennessee Orthopaedic Clinics ,TN,Healthcare Provider,500,5/19/2023,Hacking/IT Incident,Network Server,No,
"Marshall Information Services, LLC dba Primary Solutions ",OH,Business Associate,7456,5/18/2023,Hacking/IT Incident,Network Server,Yes,
University of Missouri Health Care ,MO,Healthcare Provider,736,5/17/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Clarke County Hospital   ,IA,Healthcare Provider,28003,5/17/2023,Hacking/IT Incident,Network Server,No,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service",NJ,Health Plan,552,5/16/2023,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
Buckeye Health Plan,OH,Health Plan,686,5/16/2023,Unauthorized Access/Disclosure,Email,No,
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,5/16/2023,Hacking/IT Incident,Network Server,No,
Fertility Specialists Medical Group,CA,Healthcare Provider,9437,5/15/2023,Hacking/IT Incident,Network Server,No,
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,627,5/15/2023,Hacking/IT Incident,Network Server,No,
R&B Corporation of Virginia d/b/a Credit Control Corporation,VA,Business Associate,345523,5/13/2023,Hacking/IT Incident,Network Server,Yes,
PharMerica Corporation,KY,Healthcare Provider,5815591,5/12/2023,Hacking/IT Incident,Network Server,No,
Great Expressions Dental Centers,MI,Healthcare Provider,528,5/12/2023,Hacking/IT Incident,Network Server,No,
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,5/12/2023,Hacking/IT Incident,Network Server,No,
Solutran,MN,Business Associate,17728,5/12/2023,Hacking/IT Incident,Network Server,Yes,
Health Benefit Plan of the Anchorage School District,AK,Health Plan,4598,5/12/2023,Theft,Laptop,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1116,5/12/2023,Unauthorized Access/Disclosure,Email,No,
Catholic Health System,NY,Healthcare Provider,12759,5/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"IMA Financial Group, Inc.",KS,Business Associate,2937,5/10/2023,Hacking/IT Incident,Network Server,Yes,
Uintah Basin Healthcare,UT,Healthcare Provider,103974,5/10/2023,Hacking/IT Incident,Network Server,No,
"Brightline, Inc.",CA,Business Associate,28975,5/10/2023,Hacking/IT Incident,Other,Yes,
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")",AZ,Healthcare Provider,1034,5/9/2023,Theft,Desktop Computer,No,
"ASAS Health, LLC",TX,Healthcare Provider,25527,5/6/2023,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1971,5/5/2023,Unauthorized Access/Disclosure,Network Server,No,
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,26561,5/5/2023,Hacking/IT Incident,Network Server,No,
"Our Sunday Visitor, Inc.",IN,Health Plan,965,5/5/2023,Hacking/IT Incident,Network Server,No,
People Incorporated of Sequoyah County,OK,Healthcare Provider,8725,5/5/2023,Hacking/IT Incident,Network Server,No,
New Mexico Department of Health,NM,Healthcare Provider,49000,5/4/2023,Unauthorized Access/Disclosure,Other,No,
Methodist Family Health,AR,Healthcare Provider,5259,5/3/2023,Hacking/IT Incident,Network Server,No,
Northwest Health – La Porte,IN,Healthcare Provider,10256,5/2/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ,WV,Healthcare Provider,2563,5/2/2023,Hacking/IT Incident,Network Server,Yes,
University Urology,NY,Healthcare Provider,56816,5/1/2023,Hacking/IT Incident,Network Server,No,
Summit Eye & Optical,NJ,Healthcare Provider,5727,5/1/2023,Hacking/IT Incident,Network Server,No,
ReDiscover Mental Health,MO,Healthcare Provider,877,5/1/2023,Unauthorized Access/Disclosure,Email,No,
Link Audiology LLC,WA,Healthcare Provider,7200,4/28/2023,Hacking/IT Incident,Email,No,
"HealthPlan Services, Inc.",FL,Business Associate,9349,4/28/2023,Hacking/IT Incident,Network Server,Yes,
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers",VA,Healthcare Provider,5272,4/28/2023,Hacking/IT Incident,Email,No,
Allina Health,MN,Healthcare Provider,1042,4/28/2023,Unauthorized Access/Disclosure,Network Server,No,
"Unlimited Care, Inc. ",NY,Healthcare Provider,8453,4/27/2023,Hacking/IT Incident,Network Server,No,
Delphi Drug & Alcohol Council,NY,Healthcare Provider,6288,4/27/2023,Hacking/IT Incident,Email,No,
"University of California, San Francisco",CA,Healthcare Provider,676,4/26/2023,Hacking/IT Incident,Email,No,
"CounSol, LLC",FL,Business Associate,4277,4/25/2023,Unauthorized Access/Disclosure,Network Server,Yes,
Lake County Health Department and Community Health Center,IL,Healthcare Provider,17000,4/25/2023,Hacking/IT Incident,Email,No,
Mars Area School District  ,PA,Health Plan,1270,4/24/2023,Hacking/IT Incident,Network Server,No,
Robeson Health Care Corporation,NC,Healthcare Provider,15045,4/21/2023,Hacking/IT Incident,Network Server,No,
"Brightline, Inc.",CA,Business Associate,180694,4/20/2023,Hacking/IT Incident,"Network Server, Other",Yes,
Upper Peninsula Health Plan ,MI,Health Plan,833,4/20/2023,Hacking/IT Incident,Network Server,Yes,
Modern Cardiology Associates,,Healthcare Provider,10000,4/19/2023,Hacking/IT Incident,Network Server,No,
Graceworks Lutheran Services,OH,Healthcare Provider,6737,4/19/2023,Hacking/IT Incident,Network Server,No,
Morgan Stanley,NY,Health Plan,535,4/18/2023,Unauthorized Access/Disclosure,Paper/Films,No,
"Ethan Health, LLC",KY,Healthcare Provider,4047,4/14/2023,Hacking/IT Incident,Email,No,
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,4/14/2023,Unauthorized Access/Disclosure,Network Server,No,
Dallas County,TX,Healthcare Provider,501,4/14/2023,Improper Disposal,Desktop Computer,No,
United Steelworkers Local 286,PA,Health Plan,37965,4/14/2023,Hacking/IT Incident,Email,No,
Two Rivers Public Health Department,NE,Healthcare Provider,15168,4/14/2023,Hacking/IT Incident,Email,No,
Henry County Hospital,OH,Healthcare Provider,3689,4/14/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,49968,4/13/2023,Hacking/IT Incident,"Network Server, Other",Yes,
"NationsBenefits Holdings, LLC",FL,Business Associate,3037303,4/13/2023,Hacking/IT Incident,Network Server,Yes,
Cummins Behavioral Health Systems,IN,Healthcare Provider,501,4/12/2023,Hacking/IT Incident,Network Server,No,
"Retina & Vitreous of Texas, PLLC",TX,Healthcare Provider,35766,4/10/2023,Hacking/IT Incident,Network Server,No,
Yukon Kuskokwim Health Corporation ,AK,Healthcare Provider,51787,4/10/2023,Hacking/IT Incident,Network Server,No,
"St. Vincent’s Ambulatory Care, Inc.",FL,Healthcare Provider,768,4/10/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME),IA,Health Plan,20815,4/10/2023,Hacking/IT Incident,Network Server,Yes,
"La Clínica de La Raza, Inc.",CA,Healthcare Provider,15316,4/7/2023,Hacking/IT Incident,Email,No,
"Brightline, Inc.",CA,Business Associate,199000,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,21830,4/7/2023,Hacking/IT Incident,Network Server,Yes,
Gretna Family Health,NE,Healthcare Provider,845,4/7/2023,Hacking/IT Incident,Network Server,No,
